Identifier	Value	Description	KiCad package
SD	Micro SD socket		myelin-kicad:hirose_micro_sd_card_socket
AUDIO_OUT	audio out		Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical
SERIAL	fpga serial port		Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
JTAG	jtag		myelin-kicad:jtag_shrouded_2x5
JTAGTC	jtagtc		Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical
MSWD	swd		Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical
MSWD2	swd		Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical
EXTPWR	ext pwr	1x3 0.1 inch male header	Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
REG	AP7365-33YG-XX	3.3V LDO regulator, e.g. Digikey AP7365-33YG-13DICT-ND.  Search for the exact part number because there are many variants.	Package_TO_SOT_SMD:SOT-89-3
DC1	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC10	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC11	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC12	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC13	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC14	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC16	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC17	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC18	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC19	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC2	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC20	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC21	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC22	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC23	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC3	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC4	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC5	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC6	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC7	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC8	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC9	100n	Capacitor 0402: 100n	Capacitor_SMD:C_0402_1005Metric
DC15	100n	Capacitor 0805: 100n	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
DC24	100n	Capacitor 0805: 100n	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
DC25	100n	Capacitor 0805: 100n	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
DC26	100n	Capacitor 0805: 100n	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
MC1	100n	Capacitor 0805: 100n	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC8	10u	Capacitor 0805: 10u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC9	10u	Capacitor 0805: 10u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C1	10u	Capacitor 0805: 10u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC1	1u	Capacitor 0805: 1u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC5	1u	Capacitor 0805: 1u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C2	1u	Capacitor 0805: 1u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C3	1u	Capacitor 0805: 1u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C8	1u	Capacitor 0805: 1u	Capacitor_SMD:C_0805_2012Metric
C9	1u	Capacitor 0805: 1u	Capacitor_SMD:C_0805_2012Metric
AC4	2.2u	Capacitor 0805: 2.2u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C4	2.7n	Capacitor 0805: 2.7n	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC6	2.7n NF	Capacitor 0805: 2.7n NF	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC7	2.7n NF	Capacitor 0805: 2.7n NF	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC2	4.7u	Capacitor 0805: 4.7u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AC3	4.7u	Capacitor 0805: 4.7u	Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
D1	BAT54	Diode SOD323: BAT54	Diode_SMD:D_SOD-323_HandSoldering
RAM	MT48LC16M16A2	MT48LC16M16A2F4-6A:GTR	myelin-kicad:sdram_54tfbga
MUSB	usb	Molex 1050170001 (Digikey WM1399CT-ND) surface mount micro USB socket with mounting holes.	myelin-kicad:micro_usb_b_smd_molex
USB	usb	Molex 1050170001 (Digikey WM1399CT-ND) surface mount micro USB socket with mounting holes.	myelin-kicad:micro_usb_b_smd_molex
R3	1-10k	Resistor 0805: 1-10k	Resistor_SMD:R_0805_2012Metric
R5	100R	Resistor 0805: 100R	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AR4	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AR5	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
AR6	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
MR1	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR1	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR10	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR12	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric
PR13	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric
PR2	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR3	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR4	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR5	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR6	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR7	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
PR8	10k	Resistor 0805: 10k	Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
